RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
274772,Northeast Dallas,Texas,1,201100,203500,210500,211300,210700,213800,221600,218300,218700,207200,198100,195800,202900,208500,207000,207900,207400,210000,203300,205800,206800,205300,204000,190000,193800,200400,203600,202100,195100,212700,213500,217700,215100,224300,233000,215600,204100,187600,201900,204800,207400,203800,200900,194600,182400,197300,207200,221500,215600,221500,223800,221300,225000,232700,241700,237900,230600,232500,235200,225700,223100,223200,241600,248100,250600,253200,252000,253000,259200,257300,263600,253900,249700,251100,255600,263000,264000,265800,270000,270900,272200,276900,270000,277200,280000,287100,287400,286600,298300,293900,292300,275300,279600,283100,298100,306100,308500,305000,303200,309100,312800,315300,318800,326100,337000,334000,332100,329800,334800,343500,343600,345500,342000,345300,346500,350000,344700,347100,349600,346700,346700,345600,353700,351200,351500,355000,358400,349500,363400,370900,378700,363100,357300,358200,358100,355900,356900,364300,366300,370600,372700,,,,
112345,Maryvale,Arizona,2,,,,,,,,,,,,,,,,,43800,46900,48000,51100,54800,54800,54400,52100,51500,50600,50800,51300,50300,46400,44300,41900,41400,39500,40900,41100,41900,40100,39400,39600,39900,40900,42500,44200,45100,45000,46400,46800,50200,53000,60800,63200,64000,63700,66000,72000,73500,74200,82000,84100,84600,76300,76300,79900,82700,94800,96900,100300,93600,93800,93500,90900,92100,94900,99000,100200,100500,101700,101600,101400,102600,111100,109700,110600,108800,114400,118900,120500,122200,121500,119900,120100,120000,123100,125800,133800,136100,136600,132600,132100,135800,137500,140300,141700,145900,146600,147300,147200,148500,150000,149200,150900,149900,152800,155500,159900,159700,160700,162800,165900,167200,169100,171300,173400,173800,173900,175700,176300,178100,179500,180400,181500,180600,183200,184600,188600,187500,187700,192300,194900,199400,196100,207200,213200,
192689,Paradise,Nevada,3,271000,287500,288500,258600,233200,216300,202300,189200,178700,170300,165600,150700,138700,129600,125600,115900,115300,112700,114700,112700,118100,120900,121400,118800,117400,116800,119800,119400,119900,113900,112600,106300,107000,105100,105900,106400,104500,107100,101900,102800,98300,100800,97600,99800,99100,100400,100600,100300,104200,103600,106100,106200,111100,108400,111600,111900,122400,124400,128300,130000,133200,137500,137100,138400,140000,143800,147400,148900,150300,152400,156600,158200,159100,156300,157100,152200,156200,164700,169600,170200,162500,165700,165100,166100,170300,174300,175400,168000,167300,170200,179100,180500,183300,181600,177200,177500,176600,182200,182500,183600,183600,184700,185500,186700,185100,186200,189600,193000,198000,197500,201700,204600,207600,207200,209600,214000,219500,223200,225600,227500,227200,230200,234700,240400,242500,253600,253500,254700,247600,249000,252900,252900,252400,247500,248600,253100,256400,256900,255600,252600,251000,250000,257800,261900,268400
270958,Upper West Side,New York,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980600,945800,911700,1032100,1073500,1040700,941500,933300,962000,1055600,1154700,1210800,1133200,967600,905600,895800,980800,970800,969200,1006800,1011800,1033700,936100,1063300,1036400,1119800,934400,990700,930300,999900,978000,930600,930600,962900,1047900,1054200,1084100,1062000,1090600,1035900,1096300,1108900,1134400,1094800,1089500,1098400,1137200,1096200,1024200,962700,962400,1017800,1065800,1083600,1092900,1130300,1202400,1234500,1282800,1335500,1346700,1309400,1267900,1280300,1220400,1203800,1154400,1178900,1111300,1055400,1040000,1194700,1212700,1216300,1179300,1193000,1196800,1170000,1187700,1201800,1151400,1142800,1105700,1154100,1199900,1232400,1152100,1095300,1128600,1150500,1165500,1131100,1212900,1213700,1159600,1060400,1064400,1143500,1213900,1244400,1243900,1259900,1254600,1214000,1125800,1091900,1076500,1075500,1055100,998800,1031100,1042400
118208,South Los Angeles,California,5,374300,354000,331100,311000,294800,281500,271300,267300,247300,230800,218200,207600,210100,201800,193300,182600,181900,186800,185200,179200,185100,190400,196100,192400,190800,192200,198600,207400,201200,202600,201700,208200,203700,200700,205000,216200,215700,207200,198900,195800,200000,193700,194400,193700,197500,197100,197900,197400,199400,198500,199700,200800,199500,204600,204000,208800,211300,217000,221100,220200,223100,229200,234000,236100,239500,241200,252400,254000,267600,271000,275900,274200,273300,279700,284100,287300,282500,283300,290800,297600,299800,296900,298000,298200,301200,312500,314200,311700,304700,305700,313000,319800,323600,323800,326000,336400,343600,347500,346900,354000,360000,368200,367800,369300,368800,372400,375900,378200,383700,385200,391000,399200,408900,418200,417700,419900,423700,438600,451600,458900,461000,454300,460900,465800,471300,470300,463800,468300,472300,474200,469200,464600,466000,473900,480400,498400,495600,497300,492600,499300,516600,524700,537000,528500,
270957,Upper East Side,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790700,915000,905400,932500,947600,965900,941000,877000,913200,926800,914000,847800,809600,828800,830700,883400,895900,907900,888300,827000,861400,922100,946800,934800,833700,899700,842400,862800,907000,940100,968600,887400,908100,918600,898400,902100,934100,1114600,1128700,1118300,914100,941600,887700,922000,926600,932600,951100,934900,968200,963700,959300,939300,938400,932200,957600,929600,926400,952200,982700,1078100,1083000,1072200,1035900,1103200,1138400,1103400,1076400,1080400,1111300,1042400,999800,944300,906600,959300,946300,950600,969500,984700,1104000,1045700,1031700,953500,1081800,1064400,1077300,1217300,1308600,1294900,1048600,1021000,1003700,1011000,997200,1032000,1058000,1087100,1057500,1016100,987500,1049300,1040100,1055200,1126900,1210100,1195500,1145500,1070100,1048600,960200,990200,999500,967500
192820,Sunrise Manor,Nevada,7,,,,,,,,,,,,,,,,,,,72100,74700,76600,85500,88000,87900,80000,79400,79600,81700,80600,79000,75600,72400,73300,73000,74500,71600,71200,70800,70000,70200,65800,65600,63800,66000,68700,67700,67500,65500,68700,68300,70500,72700,75500,77700,79000,81500,84600,85700,89300,91400,92400,91100,90600,96800,101100,106300,107200,107600,112800,113700,117300,112200,113600,113600,114500,111400,112200,113700,116100,119900,129200,133700,130800,126100,125300,131200,131200,132000,134000,134300,136100,132800,134300,134500,152500,152600,154000,139000,141200,143400,142100,141600,142500,144700,146900,145900,149600,154700,158600,160600,160200,162400,163900,165200,164200,166200,170600,176500,179200,178000,183000,184600,191900,201200,205200,205900,201100,207500,207800,207100,204100,205400,207800,210400,214000,216800,216300,215800,209400,210300,216700,220100,222200,221400,229600
192796,Spring Valley,Nevada,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212500,214000,215500,215500,220400,225000,233600,249200,253000,253900,243700,249900,249100,251900,250400,256500,259400,263700,263500,262900,264000,264500,270600,265600,270400,271000,274800,272800,270100,268500,269100,270900,275400,275000,273900,277500,289600,293200
268496,Southeast Los Angeles,California,9,326500,296300,282400,260800,247100,239600,223400,216700,203300,199800,192200,170200,152600,139500,140500,138900,135200,132000,131400,134900,140900,144400,151900,148100,151300,145000,145700,146300,147100,152400,158700,167600,167800,162600,153600,153800,158700,165000,166400,166200,169600,170600,164400,162300,161800,162100,155500,150600,150000,159300,164500,173500,170000,176400,167800,177700,181300,191800,187000,175100,178200,183000,195000,198400,198600,209100,218500,223000,215900,215600,219400,225800,214900,216300,218100,230800,234200,236500,237500,236700,248300,245500,250700,243500,252600,253300,258600,266900,271400,266100,266800,269500,279700,282300,285200,291700,293000,289900,288900,290700,302700,302500,306300,309900,314900,315500,313800,318300,325300,318900,324900,318100,329000,330700,342200,347600,352600,353200,354100,346400,348900,350400,352600,353900,356900,364200,366700,383200,388200,390800,379800,380300,385100,380700,388200,391600,402700,408400,410800,423100,419600,429700,415800,434400,416800
194430,East New York,New York,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,225500,222700,244200,254600,239600,218800,196100,215900,228900,247100,251600,261700,270100,263300,266600,261900,243100,214500,213700,246500,276300,256500,239900,216900,216600,201100,218000,231200,243100,233400,229500,228100,233600,244000,251800,264800,269400,273100,243200,254900,272600,292800,283600,282700,268500,265200,248400,242300,250800,273700,292000,288000,260900,261100,257400,266600,266400,247800,254500,257500,253800,263500,272600,300600,299200,293400,311600,311400,330400,328000,340600,343600,335300,313800,313200,315600,344400,355400,362100,376400,359000,364800,368000,386400,398200,376900,386400,363800,347600,340500,363800,397400,391400,404700,391300,379700,354800,362700,369900,402400,402600,400900,368200,347700,375600,387300,423700,405500,412800,414800,423700,440400,419800,418600,431100,429200,442400,459200
