NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_TO_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2014_OR_LATER,BUILT_2010_2013,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE,FOREIGN_BORN_FB,EUROPEAN_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Bear Valley,9247.0,3125.0,4809.0,704.0,225.0,359.0,0.0,0.0,25.0,32.57923324,55.56559195,5.2482481,1.67735202,4.43744871,0.0,0.0,0.49212598,4463.0,4784.0,460.0,644.0,366.0,331.0,1104.0,868.0,1745.0,1289.0,1231.0,1178.0,798.0,527.0,507.0,1801.0,1840.0,19.28450884,22.0335083,39.15,40.85,38.6,8908,1774,61,147,436,280,453,365,32,7134,4710.0,647.0,1874.0,1346.0,502.0,341.0,6765.0,578.0,1638.0,2049.0,2500.0,8787.0,7317.0,1215.0,3905,3759,146,2289,1470,3759,2207,1416,791,492,299,1552,1143,409,173,64,219,25,52,420,317,208,117,199,351,561,418,264,243,128,61965,76304,33741,61965,76304,40232,48440,35539,14286,32086,40152,49252,71354,1972.5,3,24,256,108,341,1684,1333,120,4,32,1174,1288,293750,8238,1009,50,24,26,0,0,316,56,60,200,0,0,0,0,0,0,0,643,643,7,622,14,0,8.45,5.403827
Harvey Park South,9410.0,4725.0,3388.0,324.0,13.0,614.0,336.0,0.0,10.0,49.51289565,36.31728101,2.72773194,0.15733519,6.33053251,4.84010372,0.0,0.11411998,4684.0,4726.0,679.0,508.0,633.0,514.0,1187.0,1493.0,1257.0,1313.0,956.0,1253.0,1082.0,518.0,351.0,2334.0,1681.0,25.33062414,18.19884809,35.35,32.05,40.15,9105,2530,285,134,319,582,610,493,107,6575,4165.0,904.0,1390.0,1201.0,517.0,153.0,5992.0,1193.0,1402.0,1886.0,1511.0,8731.0,5871.0,2101.0,3441,3312,129,1919,1393,3312,1944,1330,614,150,464,1368,1035,333,280,193,166,120,226,96,116,205,189,225,367,305,282,241,228,73,59417,74918,28332,59417,74918,39143,48664,31401,25476,29041,46484,47274,88281,1967.0,0,15,48,189,232,746,306,1859,7,39,1126,1298,289500,7840,1570,103,0,42,0,61,364,21,113,230,0,0,0,0,0,0,30,1073,1061,43,830,188,12,14.15,13.40963715
Southmoor Park,5505.0,290.0,4563.0,244.0,6.0,281.0,0.0,0.0,121.0,5.81400629,83.19966703,3.97877155,0.15251652,4.89671582,0.0,0.0,1.95832278,2952.0,2553.0,226.0,141.0,135.0,87.0,367.0,261.0,1729.0,1027.0,696.0,641.0,342.0,274.0,168.0,589.0,844.0,12.13896592,18.25972957,37.2,37.35,38.75,5350,940,70,16,118,122,114,304,196,4410,3611.0,884.0,1739.0,756.0,174.0,58.0,4345.0,109.0,243.0,950.0,3043.0,5279.0,4616.0,150.0,3302,3055,247,878,2177,3055,1056,821,235,117,118,1999,1481,518,158,57,58,67,152,157,66,125,105,246,276,484,439,267,155,243,77298,110356,55189,77298,110356,53609,57075,46640,None,41378,43236,55256,75110,1984.0,250,280,1089,657,81,189,452,271,15,18,1451,1588,491250,4772,733,211,6,58,0,147,281,54,132,8,87,82,0,0,22,21,0,159,142,65,16,61,17,8.7,6.12271364
Hampden South,16259.0,1985.0,11701.0,1378.0,5.0,773.0,0.0,64.0,353.0,11.56202787,72.85442279,8.05106808,0.04566866,5.43162548,0.0,0.27633851,1.7788486,8294.0,7965.0,558.0,960.0,613.0,233.0,1518.0,1051.0,2635.0,2547.0,2590.0,1778.0,1900.0,1378.0,862.0,2364.0,4514.0,13.2120815,28.29025709,41.3,38.5,45.4,15933,2987,137,282,675,545,282,854,212,12946,8738.0,2093.0,3967.0,2061.0,379.0,238.0,12853.0,607.0,1719.0,3385.0,7142.0,15701.0,13406.0,705.0,8462,7916,546,4264,3652,7916,3882,2920,962,376,586,4034,3205,829,139,101,382,190,219,501,349,483,401,489,1071,1033,853,334,691,680,73403,101713,48117,73403,101713,49283,54186,41582,59168,31494,41573,55757,56950,1980.0,490,34,597,782,1115,3286,1759,277,44,78,1367,1433,380533,14501,1758,409,37,83,7,282,835,233,282,132,188,119,32,0,9,0,0,395,348,17,225,106,47,3.56666667,1.16108097
Goldsmith,6045.0,1260.0,3858.0,563.0,45.0,130.0,0.0,4.0,185.0,20.84367246,63.82133995,9.31348222,0.74441687,2.15053763,0.0,0.06617039,3.06038048,3114.0,2931.0,414.0,379.0,253.0,93.0,793.0,408.0,1085.0,938.0,813.0,754.0,566.0,268.0,420.0,1139.0,1204.0,18.8420182,19.91728701,35.7,33.8,38.9,5860,1185,136,58,246,258,146,235,106,4675,3121.0,477.0,1590.0,701.0,179.0,174.0,4445.0,357.0,1154.0,1111.0,1823.0,5631.0,4529.0,699.0,2989,2861,128,871,1990,2861,1276,841,435,252,183,1585,1314,271,237,125,89,205,214,249,219,80,113,370,167,247,249,73,125,99,45613,63819,29967,45613,63819,32182,34570,30772,35160,31058,25036,40355,62875,1973.0,0,0,55,68,246,1591,918,68,12,31,962,1039,412500,5180,865,72,43,0,13,16,140,42,38,0,60,169,21,0,0,119,0,484,467,0,444,23,17,14.7,12.22570533
Cory - Merrill,4678.0,529.0,3858.0,52.0,7.0,178.0,0.0,0.0,54.0,11.30825139,82.47114151,1.11158615,0.1496366,3.80504489,0.0,0.0,1.15433946,2537.0,2141.0,500.0,347.0,183.0,101.0,847.0,336.0,408.0,1057.0,614.0,402.0,607.0,217.0,190.0,1131.0,708.0,24.17699872,15.13467294,37.6,34.6,39.9,4382,1137,232,88,290,107,143,175,102,3245,2130.0,734.0,727.0,468.0,143.0,58.0,3267.0,16.0,288.0,516.0,2447.0,4178.0,3831.0,130.0,1924,1836,88,1446,390,1836,1215,944,271,90,181,621,465,156,50,6,0,54,39,9,28,77,56,74,129,280,213,118,206,497,116310,141587,73240,116310,141587,71763,82992,61061,None,57546,None,77222,70956,1952.0,73,7,293,31,160,35,69,374,574,308,1542,1638,598400,4504,174,10,0,10,0,0,117,21,78,18,0,0,0,0,0,0,0,47,38,0,35,3,9,5.5,0.98765432
Windsor,14734.0,3413.0,7126.0,2870.0,26.0,861.0,0.0,8.0,430.0,24.01992647,47.14342288,19.86138879,0.17747503,5.75627289,0.0,0.0593648,2.98214914,7031.0,7703.0,909.0,617.0,420.0,217.0,1526.0,706.0,2267.0,1821.0,2273.0,1298.0,2020.0,1567.0,1256.0,2163.0,5245.0,15.11745981,34.57809614,45.76666667,42.16666667,47.96666667,14124,2165,116,121,508,328,316,552,224,11959,6732.0,988.0,2958.0,1818.0,474.0,494.0,11580.0,1262.0,2923.0,2965.0,4430.0,13825.0,9342.0,2190.0,8683,8144,539,3753,4391,8144,2748,1721,1027,325,702,5396,4525,871,540,493,714,509,666,648,461,426,433,739,552,1041,389,160,213,160,45493,54173,30669,45493,54173,33300,35887,27712,18722,26758,29541,41074,63590,1976.66666667,0,132,220,1126,1617,2671,2096,660,87,74,1027,1117,237900,10923,3811,398,62,133,9,194,842,44,624,48,126,1174,685,68,18,288,0,1397,1361,51,1168,142,36,16.1,13.3390043
Belcaro,4250.0,279.0,3744.0,121.0,0.0,50.0,0.0,23.0,33.0,6.56470588,88.09411765,2.84705882,0.0,1.17647059,0.0,0.54117647,0.77647059,2169.0,2081.0,206.0,182.0,132.0,71.0,388.0,203.0,463.0,677.0,496.0,520.0,602.0,616.0,285.0,591.0,1778.0,13.90588235,41.83529412,47.5,45.3,52.2,4122,626,88,75,97,132,71,117,46,3496,1891.0,671.0,974.0,205.0,22.0,19.0,3479.0,38.0,214.0,517.0,2710.0,4044.0,3742.0,49.0,2526,2165,361,1722,443,2165,1202,1020,182,88,94,963,838,125,69,24,85,65,17,0,0,85,14,66,136,282,234,162,299,627,126964,161716,89352,126964,161716,83833,99737,69330,None,None,None,84833,130388,1965.0,111,26,525,270,88,47,392,374,233,460,1673,1786,761200,3891,359,191,16,95,0,80,107,0,88,19,0,15,15,0,0,0,0,46,17,17,0,0,29,3.1,1.08153078
Washington Park,7278.0,318.0,6685.0,38.0,37.0,128.0,5.0,7.0,60.0,4.7044651,91.60840901,0.67549208,0.39370079,1.59815545,0.0969368,0.13571152,0.78712927,3516.0,3762.0,357.0,393.0,415.0,181.0,750.0,633.0,789.0,999.0,1417.0,762.0,1102.0,647.0,179.0,1346.0,1849.0,16.81503353,29.57577371,44.1,44.1,44.0,7103,1455,167,118,317,316,235,109,193,5648,3435.0,908.0,1331.0,857.0,131.0,208.0,5766.0,85.0,364.0,742.0,4575.0,6921.0,6570.0,105.0,3602,3310,292,2597,713,3310,1947,1700,247,100,147,1363,1119,244,94,54,54,98,79,51,58,64,115,226,185,321,242,244,512,913,126108,159282,82633,126108,159282,65344,87276,52955,None,30324,20341,62752,104528,985.5,17,122,201,143,89,564,281,176,175,1834,1852,1876,664200,6861,417,275,82,85,49,59,70,17,7,46,0,0,0,0,0,0,0,72,36,0,27,9,36,5.35,3.56968007
Washington Park West,7564.0,569.0,6523.0,66.0,9.0,99.0,0.0,23.0,275.0,7.59307882,86.1253732,0.84193364,0.13181019,1.37718537,0.0,0.27710843,3.65351035,3978.0,3586.0,455.0,333.0,176.0,17.0,788.0,215.0,1452.0,2000.0,1174.0,818.0,679.0,301.0,137.0,981.0,1026.0,12.78290667,13.4653341,35.55,36.7,34.8,7303,1210,152,88,224,158,34,252,302,6093,4490.0,899.0,2105.0,1005.0,264.0,217.0,6209.0,97.0,340.0,928.0,4844.0,7109.0,6685.0,218.0,3849,3622,227,2141,1481,3622,1566,1333,233,117,116,2056,1293,763,141,27,49,98,44,77,27,172,128,155,351,515,416,237,477,708,101112,136365,63960,101112,136365,63610,69258,61740,None,36758,44997,61443,80499,0.0,171,80,176,64,8,68,163,244,236,2639,1420,1550,545350,7240,324,95,59,18,8,10,81,28,8,45,0,10,10,0,0,0,28,110,110,0,85,25,0,6.1,3.87398957
